scale,Fq_q-10,Fq_q-9,Fq_q-8,Fq_q-7,Fq_q-6,Fq_q-5,Fq_q-4,Fq_q-3,Fq_q-2,Fq_q-1,Fq_q0,Fq_q1,Fq_q2,Fq_q3,Fq_q4,Fq_q5,Fq_q6,Fq_q7,Fq_q8,Fq_q9,Fq_q10
16,1.6830192592079675e-14,1.8483940843041404e-14,2.07559360414199e-14,2.404216871318944e-14,2.914500708618588e-14,3.793374799449049e-14,5.574754008498448e-14,1.0368192387959232e-13,3.3398006941436724e-13,5.942006580894223e-12,0.19596629096222862,0.6000938854234912,0.7663180056014532,0.8784107606532634,0.9630956005604728,1.0335544801161127,1.095495244824884,1.1514953449076293,1.2028354829546115,1.2502410942343123,1.2941886196847079
27,1.856802165285409e-15,1.9889711424249847e-15,2.1674896986069116e-15,2.4207553628779866e-15,2.805063467604746e-15,3.4477115221140576e-15,4.697966315871705e-15,7.867345070058045e-15,2.2019900427884162e-14,4.4973951029635907e-13,0.38234661086451494,0.8081971560213265,1.0240364648293243,1.176681142052047,1.2965141008297898,1.3999153259529937,1.494322774313579,1.5831676890575583,1.6680457602553107,1.7496250971088831,1.8280709119600125
44,5.502106175288095e-14,5.988658620957484e-14,6.65654918296513e-14,7.62285356551445e-14,9.125206357669397e-14,1.1717041377894493e-13,1.6977533230503281e-13,3.118148967203887e-13,1.0187670197827922e-12,2.84626361700889e-11,0.6555066203701916,1.0627370031201637,1.340782025336377,1.5442690008021371,1.7089339343703716,1.8551844477920139,1.9921136334311553,2.1233603247892012,2.249965271456611,2.3717698391451183,2.488186142848513
73,8.694323374983173e-13,9.412052713406623e-13,1.0393098728329506e-12,1.1806164023093823e-12,1.3993525994924556e-12,1.7753044583784804e-12,2.5368300354352407e-12,4.598917121403525e-12,1.5114159717293245e-11,5.364994479922163e-10,0.9379256176655449,1.3983199360844007,1.763744551651527,2.0411037406496035,2.271040644426126,2.47701011771942,2.6686570834800203,2.8493738807132827,3.0201455012720633,3.18119817871093,3.3326271129860903
121,0.3384416693824733,0.3526317817976871,0.3691364515412859,0.38860995618554944,0.4121293389499623,0.441642140463971,0.48106718938076376,0.5393927191215897,0.640413411946765,0.8508162721358928,1.2886783781318487,1.8811552491598975,2.3860125896367856,2.775020235866845,3.0973204906784018,3.3818114415974803,3.6404743267902107,3.878234749570882,4.097526828106561,4.299952212859293,4.486822192543816
201,0.42071548284902194,0.44175220014613703,0.467026877971583,0.4974414463027809,0.5342391219164451,0.5796445185772423,0.6385654368657154,0.7230776966490591,0.8656154955966588,1.1549604009069416,1.740019792475622,2.5217553058893802,3.198158359249802,3.734467248259504,4.194295720431815,4.615762130508495,5.012743234165402,5.387380051140193,5.737679713511427,6.061418850731372,6.357656222865513
333,0.6841799105704274,0.7058732067913824,0.7316325214617417,0.7627364281192317,0.8012016720937655,0.8505621910880338,0.9178805837899776,1.019626105608396,1.2010801025317417,1.5992927172670068,2.4983675079547956,3.7794311632880366,4.867648578537853,5.700261696884779,6.393364757950377,7.00918761426962,7.569605940554053,8.080856789694447,8.545068185890578,8.964372983962312,9.341804673828912
553,0.9269732624443687,0.9547275581342832,0.9880683966929136,1.0289827000344476,1.0806091108871314,1.1483366333629583,1.2425611877695115,1.3866653605264605,1.6432307413117389,2.197282402046889,3.4181645579743387,5.131397192819848,6.5741698366667105,7.649209642180371,8.504891388282685,9.228748005798213,9.859114520447253,10.414047880128106,10.904407379146187,11.338557635869158,11.723783869996991
917,1.315985166628134,1.3507563256774224,1.3932772583820012,1.4465773622974103,1.5154526970307318,1.6080075750127962,1.7393720758467908,1.9423667207607092,2.3032652389476964,3.0823299629261176,4.85551846163335,7.500892808521789,9.83220444912687,11.597718337632884,12.989009012137412,14.134720010044392,15.101091450769983,15.927322169469523,16.640414646721776,17.2606108136087,17.803704670556066
1521,1.699992981194154,1.7553394496288042,1.8222584010072749,1.904596266333531,2.008327272599295,2.1436875670176114,2.330822523180715,2.6172404681745194,3.1413970264328577,4.378088800693872,7.473336495108364,11.844176389317937,15.240828948474338,17.737990089265047,19.824716469694046,21.68832651896277,23.365945738686044,24.85800400575133,26.16881797876744,27.312489435043634,28.308687993253255
2522,2.758811083477239,2.819112066792959,2.8912063290208163,2.9795937201810117,3.091800213144568,3.241618717939626,3.457623046941097,3.809867692034429,4.514806113886594,6.44910677083061,12.828827472234302,23.976037491315736,33.37535475623698,40.654055592278354,46.67970121165529,51.811854791119075,56.21831638350519,60.008460706488066,63.27129498834548,66.08547176153004,68.52069739930452
4184,3.286835261189748,3.3737419985957793,3.4842333142472968,3.628744469689004,3.8245528119172976,4.1024143108281566,4.5232828757987695,5.230909279306277,6.68299207640673,11.204955348194993,30.961428370312113,60.375431103633424,76.00019499637048,84.61124227674333,90.49407534395279,95.04927648226756,98.81174361540899,102.02574945874316,104.82054538131413,107.2744344962098,109.44123013790374
6940,7.70604808339099,7.908724680470083,8.164556849680956,8.497249342854683,8.94722085475281,9.58936573500717,10.578760707206271,12.29305167638525,15.928294848639752,27.039208045730643,67.97529848393083,125.01558938431653,159.63758582348706,180.93613148488842,195.9861328716615,207.4912443549926,216.67972581954658,224.2276872047357,230.55715283932312,235.9521348124604,240.61273336945746
11511,18.095715530408583,18.376606559719924,18.73385967860368,19.203409140749635,19.84783250587705,20.786508089341268,22.27821331160406,25.001371797667982,31.345010401051436,53.75003476598022,136.71209839054342,220.2885127452102,256.90690767700846,276.82345189645525,290.88067486272644,301.99698024866365,311.15724115603683,318.81750282733617,325.2652664117724,330.71895592044876,335.3561308085997
